DrugBank ID,Human Intestinal Absorption_Value,Human Intestinal Absorption_Probability,Blood Brain Barrier_Value,Blood Brain Barrier_Probability,Caco-2 permeable_Value,Caco-2 permeable_Probability,P-glycoprotein substrate_Value,P-glycoprotein substrate_Probability,P-glycoprotein inhibitor I_Value,P-glycoprotein inhibitor I_Probability,P-glycoprotein inhibitor II_Value,P-glycoprotein inhibitor II_Probability,Renal organic cation transporter_Value,Renal organic cation transporter_Probability,CYP450 2C9 substrate_Value,CYP450 2C9 substrate_Probability,CYP450 2D6 substrate_Value,CYP450 2D6 substrate_Probability,CYP450 3A4 substrate_Value,CYP450 3A4 substrate_Probability,CYP450 1A2 substrate_Value,CYP450 1A2 substrate_Probability,CYP450 2C9 inhibitor_Value,CYP450 2C9 inhibitor_Probability,CYP450 2D6 inhibitor_Value,CYP450 2D6 inhibitor_Probability,CYP450 2C19 inhibitor_Value,CYP450 2C19 inhibitor_Probability,CYP450 3A4 inhibitor_Value,CYP450 3A4 inhibitor_Probability,CYP450 inhibitory promiscuity_Value,CYP450 inhibitory promiscuity_Probability,Ames test_Value,Ames test_Probability,Carcinogenicity_Value,Carcinogenicity_Probability,Biodegradation_Value,Biodegradation_Probability,Rat acute toxicity_Value,Rat acute toxicity_Probability,hERG inhibition (predictor I)_Value,hERG inhibition (predictor I)_Probability,hERG inhibition (predictor II)_Value,hERG inhibition (predictor II)_Probability
DB03962,-,0.9755,+,0.7604,-,0.6893,Non-substrate,0.5297,Non-inhibitor,0.8759,Non-inhibitor,0.9187,Non-inhibitor,0.9236,Non-substrate,0.8455,Non-substrate,0.8266,Non-substrate,0.5213,Non-inhibitor,0.7235,Non-inhibitor,0.8682,Non-inhibitor,0.8539,Non-inhibitor,0.8494,Non-inhibitor,0.7787,Low CYP Inhibitory Promiscuity,0.8089,Non AMES toxic,0.7702,Non-carcinogens,0.8761,Not ready biodegradable,0.9922,"2.6574 LD50, mol/kg",Not applicable,Weak inhibitor,0.9836,Non-inhibitor,0.5562
DB13238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB06987,+,0.9831,-,0.9505,-,0.7922,Substrate,0.6773,Non-inhibitor,0.9446,Non-inhibitor,0.9856,Non-inhibitor,0.8959,Non-substrate,0.8416,Substrate,0.5468,Non-substrate,0.6826,Non-inhibitor,0.9045,Non-inhibitor,0.9163,Non-inhibitor,0.9231,Non-inhibitor,0.9026,Non-inhibitor,0.9379,Low CYP Inhibitory Promiscuity,0.9537,Non AMES toxic,0.9132,Non-carcinogens,0.8691,Not ready biodegradable,0.8969,"2.0932 LD50, mol/kg",Not applicable,Weak inhibitor,0.996,Non-inhibitor,0.8861
DB09177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB16625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB16629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB01839,+,0.9832,+,0.7184,-,0.6594,Non-substrate,0.7162,Non-inhibitor,0.9157,Non-inhibitor,0.944,Non-inhibitor,0.9401,Non-substrate,0.832,Non-substrate,0.8739,Non-substrate,0.7434,Non-inhibitor,0.7858,Non-inhibitor,0.9388,Non-inhibitor,0.9526,Non-inhibitor,0.8969,Non-inhibitor,0.9599,Low CYP Inhibitory Promiscuity,0.958,Non AMES toxic,0.9132,Carcinogens,0.5,Ready biodegradable,0.9505,"0.6112 LD50, mol/kg",Not applicable,Weak inhibitor,0.9568,Non-inhibitor,0.9008
DB16702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB16741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB07027,+,0.989,+,0.909,-,0.6405,Substrate,0.6625,Inhibitor,0.7001,Non-inhibitor,0.598,Non-inhibitor,0.5429,Non-substrate,0.894,Non-substrate,0.7137,Non-substrate,0.6143,Non-inhibitor,0.7455,Non-inhibitor,0.6663,Non-inhibitor,0.5949,Inhibitor,0.6643,Inhibitor,0.7139,High CYP Inhibitory Promiscuity,0.7415,Non AMES toxic,0.7936,Non-carcinogens,0.872,Not ready biodegradable,0.9973,"2.5272 LD50, mol/kg",Not applicable,Weak inhibitor,0.9182,Inhibitor,0.8779
DB01873,+,0.8749,+,0.7345,-,0.5948,Substrate,0.689,Non-inhibitor,0.8151,Non-inhibitor,0.9518,Non-inhibitor,0.9136,Non-substrate,0.8473,Non-substrate,0.8372,Substrate,0.6028,Non-inhibitor,0.5443,Non-inhibitor,0.7697,Non-inhibitor,0.92,Non-inhibitor,0.612,Non-inhibitor,0.835,Low CYP Inhibitory Promiscuity,0.8559,Non AMES toxic,0.6843,Non-carcinogens,0.9367,Not ready biodegradable,0.5931,"2.8243 LD50, mol/kg",Not applicable,Weak inhibitor,0.9905,Non-inhibitor,0.9322
DB16826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB07117,+,0.9606,+,0.6586,-,0.645,Substrate,0.787,Inhibitor,0.6443,Non-inhibitor,0.7721,Non-inhibitor,0.6487,Non-substrate,0.7562,Non-substrate,0.7898,Substrate,0.5407,Non-inhibitor,0.8731,Non-inhibitor,0.659,Non-inhibitor,0.9374,Non-inhibitor,0.6104,Non-inhibitor,0.8238,Low CYP Inhibitory Promiscuity,0.8221,Non AMES toxic,0.5704,Non-carcinogens,0.8847,Not ready biodegradable,0.9914,"2.6063 LD50, mol/kg",Not applicable,Weak inhibitor,0.7722,Inhibitor,0.7106
DB04152,+,0.7526,+,0.7234,-,0.695,Substrate,0.5513,Non-inhibitor,0.969,Non-inhibitor,0.9958,Non-inhibitor,0.9331,Non-substrate,0.9204,Non-substrate,0.8064,Non-substrate,0.5117,Non-inhibitor,0.6718,Non-inhibitor,0.7744,Non-inhibitor,0.8548,Non-inhibitor,0.6935,Non-inhibitor,0.7866,Low CYP Inhibitory Promiscuity,0.9204,Non AMES toxic,0.5491,Non-carcinogens,0.9278,Not ready biodegradable,0.8085,"2.5530 LD50, mol/kg",Not applicable,Weak inhibitor,0.9685,Non-inhibitor,0.829
DB13438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB16927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB09383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB04230,+,0.7984,-,0.7314,-,0.6545,Substrate,0.8126,Non-inhibitor,0.7274,Non-inhibitor,0.9485,Non-inhibitor,0.9511,Non-substrate,0.868,Non-substrate,0.8033,Substrate,0.5784,Non-inhibitor,0.7591,Non-inhibitor,0.782,Non-inhibitor,0.872,Non-inhibitor,0.7171,Non-inhibitor,0.7688,Low CYP Inhibitory Promiscuity,0.8681,AMES toxic,0.5265,Non-carcinogens,0.7942,Not ready biodegradable,0.9767,"2.6278 LD50, mol/kg",Not applicable,Weak inhibitor,0.8386,Non-inhibitor,0.6472
DB09461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB02069,+,0.9955,+,0.9482,-,0.6035,Non-substrate,0.8189,Non-inhibitor,0.8674,Non-inhibitor,0.8863,Non-inhibitor,0.8539,Non-substrate,0.7593,Non-substrate,0.8371,Non-substrate,0.6865,Non-inhibitor,0.6089,Non-inhibitor,0.7669,Non-inhibitor,0.917,Non-inhibitor,0.6941,Non-inhibitor,0.8681,High CYP Inhibitory Promiscuity,0.5149,Non AMES toxic,0.7444,Non-carcinogens,0.7615,Not ready biodegradable,1.0,"2.3155 LD50, mol/kg",Not applicable,Weak inhibitor,0.9923,Non-inhibitor,0.8446
DB09571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB04325,+,0.9022,+,0.9358,+,0.8705,Non-substrate,0.7267,Non-inhibitor,0.9586,Non-inhibitor,0.9273,Non-inhibitor,0.5524,Non-substrate,0.8336,Substrate,0.6961,Non-substrate,0.7843,Inhibitor,0.7527,Non-inhibitor,0.7402,Inhibitor,0.6126,Inhibitor,0.5132,Non-inhibitor,0.9109,Low CYP Inhibitory Promiscuity,0.6645,Non AMES toxic,0.8619,Non-carcinogens,0.7581,Ready biodegradable,0.9225,"2.2561 LD50, mol/kg",Not applicable,Weak inhibitor,0.6231,Non-inhibitor,0.8105
DB04331,+,0.8805,-,0.9108,-,0.5425,Substrate,0.5619,Inhibitor,0.5817,Non-inhibitor,0.8551,Non-inhibitor,0.8409,Non-substrate,0.7354,Non-substrate,0.8222,Non-substrate,0.5795,Inhibitor,0.9107,Inhibitor,0.6529,Non-inhibitor,0.9231,Inhibitor,0.8994,Non-inhibitor,0.6004,High CYP Inhibitory Promiscuity,0.9141,Non AMES toxic,0.6574,Non-carcinogens,0.8282,Not ready biodegradable,0.9848,"2.4622 LD50, mol/kg",Not applicable,Weak inhibitor,0.9605,Non-inhibitor,0.7884
DB11124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB17152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB02159,+,0.9832,+,0.7184,-,0.6594,Non-substrate,0.7162,Non-inhibitor,0.9157,Non-inhibitor,0.944,Non-inhibitor,0.9401,Non-substrate,0.832,Non-substrate,0.8739,Non-substrate,0.7434,Non-inhibitor,0.7858,Non-inhibitor,0.9388,Non-inhibitor,0.9526,Non-inhibitor,0.8969,Non-inhibitor,0.9599,Low CYP Inhibitory Promiscuity,0.958,Non AMES toxic,0.9132,Carcinogens,0.5,Ready biodegradable,0.9505,"0.6112 LD50, mol/kg",Not applicable,Weak inhibitor,0.9568,Non-inhibitor,0.9008
DB17202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB07373,+,1.0,+,0.9793,+,0.8011,Substrate,0.5526,Inhibitor,0.8564,Non-inhibitor,0.6615,Non-inhibitor,0.6632,Non-substrate,0.8548,Non-substrate,0.9131,Substrate,0.7193,Non-inhibitor,0.9046,Non-inhibitor,0.9387,Non-inhibitor,0.9386,Non-inhibitor,0.8138,Non-inhibitor,0.8483,Low CYP Inhibitory Promiscuity,0.8067,Non AMES toxic,0.9508,Non-carcinogens,0.9313,Not ready biodegradable,0.9343,"1.5360 LD50, mol/kg",Not applicable,Weak inhibitor,0.7599,Non-inhibitor,0.7469
DB17384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB17386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB13723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB11278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB07419,+,0.9942,+,0.658,-,0.5681,Non-substrate,0.5382,Non-inhibitor,0.6054,Non-inhibitor,0.8077,Non-inhibitor,0.9474,Non-substrate,0.7569,Non-substrate,0.7382,Non-substrate,0.5054,Non-inhibitor,0.51,Non-inhibitor,0.5212,Non-inhibitor,0.7816,Inhibitor,0.6776,Non-inhibitor,0.799,High CYP Inhibitory Promiscuity,0.5957,Non AMES toxic,0.7935,Non-carcinogens,0.8003,Not ready biodegradable,1.0,"2.4004 LD50, mol/kg",Not applicable,Weak inhibitor,0.9852,Non-inhibitor,0.7481
DB07423,+,0.9644,-,0.6422,-,0.5875,Substrate,0.5104,Non-inhibitor,0.5074,Non-inhibitor,0.7741,Non-inhibitor,0.9655,Non-substrate,0.7938,Non-substrate,0.8287,Substrate,0.5782,Non-inhibitor,0.5069,Non-inhibitor,0.5886,Non-inhibitor,0.8488,Inhibitor,0.5544,Non-inhibitor,0.597,High CYP Inhibitory Promiscuity,0.5765,Non AMES toxic,0.6254,Non-carcinogens,0.6208,Not ready biodegradable,1.0,"2.6017 LD50, mol/kg",Not applicable,Weak inhibitor,0.9844,Non-inhibitor,0.727
